"Source:","/Users/zaidhumayun/Desktop/Sourav Design/FitBot/FitBot.kicad_sch"
"Date:","2022 September 16, Friday 15:17:37"
"Tool:","Eeschema (6.0.5-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","37"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","A_max","DESCRIPTION","D_nom","MF","PARTREV","b_max","b_nom","e_nom"
"","","C1","680uF","EEUFM1C681L:EEUFM1C681L","downloaded-footprints:CAPPRD350W60D800H2000 - EEUFM1C681L","","20","FM-A","8","PANASONIC","28-FEB-20","0.65","0.6","3.5"
"","","C2","220uF","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C3","220uF","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C4","220uF","Device:C_Polarized_Small_US","Capacitor_THT:CP_Radial_D8.0mm_P5.00mm","~","","","","","","","",""
"","","C5","100nF","Device:C","downloaded-footprints:CAPC2012X135N-CL21A106KOQNNNE-0805","~","","","","","","","",""
"","","C6","100nF","Device:C","downloaded-footprints:CAPC2012X135N-CL21A106KOQNNNE-0805","~","","","","","","","",""
"","","C7","100nF","Device:C","downloaded-footprints:CAPC2012X135N-CL21A106KOQNNNE-0805","~","","","","","","","",""
"","","C8","100nF","Device:C","downloaded-footprints:CAPC2012X135N-CL21A106KOQNNNE-0805","~","","","","","","","",""
"","","D1","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D2","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D3","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D4","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D5","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D6","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D7","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D8","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
"","","D9","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","",""
